ReviewID,CustomerID,ProductID,ReviewText,ReviewDate,CleanReview,ReviewLength,Year,Month,Weekday,SentimentScore,SentimentLabel
55,306,270,It was a complete waste of money. I would never buy this again.,2024-01-01,complete waste money would never buy,6,2024,1,Monday,-0.05,Neutral
56,950,241,"I've used it for a week, and it functions as advertised, but it's not extraordinary.",2023-07-23,used week functions advertised not extraordinary,6,2023,7,Sunday,-0.16666666666666666,Negative
57,102,201,Very poor quality. It's already falling apart after a few weeks of use.,2023-11-20,poor quality already falling apart weeks use,7,2023,11,Monday,-0.4,Negative
58,560,235,"The customer service was fantastic, and the product arrived on time.",2023-10-08,customer service fantastic product arrived time,6,2023,10,Sunday,0.4,Positive
59,417,237,"Fantastic quality, and the performance is just amazing. Highly recommend!",2024-01-05,fantastic quality performance amazing highly recommend,6,2024,1,Friday,0.38666666666666666,Positive
60,590,201,"The product is fine, but it lacks the features I was hoping for.",2023-12-21,product fine lacks features hoping,5,2023,12,Thursday,0.4166666666666667,Positive
61,225,247,"The product is fine, but it lacks the features I was hoping for.",2024-03-21,product fine lacks features hoping,5,2024,3,Thursday,0.4166666666666667,Positive
62,993,239,Impressed with the durability and performance of this product.,2023-08-07,impressed durability performance product,4,2023,8,Monday,1.0,Positive
63,317,207,"It works so well, and it's exactly what I needed for my project.",2023-12-28,works well exactly needed project,5,2023,12,Thursday,0.25,Positive
64,828,238,"It works fine, but I had expected a bit more for the price.",2023-10-01,works fine expected bit price,5,2023,10,Sunday,0.15833333333333333,Positive
65,700,249,Wonderful product! The quality and performance are unmatched.,2024-03-25,wonderful product quality performance unmatched,5,2024,3,Monday,1.0,Positive
66,306,231,I've had a wonderful experience with this product. Definitely recommend it!,2024-03-07,wonderful experience product definitely recommend,5,2024,3,Thursday,0.5,Positive
67,161,226,I couldn't be happier with my purchase. It's perfect for what I needed.,2023-08-23,could not happier purchase perfect needed,6,2023,8,Wednesday,1.0,Positive
68,230,281,This product didn't live up to its promises. I'm very disappointed.,2023-11-07,product not live promises disappointed,5,2023,11,Tuesday,-0.40909090909090906,Negative
69,957,258,"Perfect fit, great design, and works like a charm. Very pleased!",2024-03-28,perfect fit great design works like charm pleased,8,2024,3,Thursday,0.675,Positive
70,107,278,This product is decent but doesn't stand out in any way.,2024-04-20,product decent not stand way,5,2024,4,Saturday,0.16666666666666666,Positive
71,688,248,I'm very unhappy with this purchase. It didn't meet my expectations.,2024-06-17,unhappy purchase not meet expectations,5,2024,6,Monday,-0.6,Negative
72,681,221,Works perfectly! Totally exceeded my expectations in terms of performance.,2024-03-08,works perfectly totally exceeded expectations terms performance,7,2024,3,Friday,0.0,Neutral
73,307,214,Great product and excellent customer support. Totally worth it!,2023-08-08,great product excellent customer support totally worth,7,2023,8,Tuesday,0.7000000000000001,Positive
74,596,240,"I love this item. It's sturdy, functional, and well-made.",2024-04-10,love item sturdy functional well made,6,2024,4,Wednesday,0.5,Positive
75,708,224,"It's an okay product, but there are some issues I have with it.",2023-07-10,okay product issues,3,2023,7,Monday,0.5,Positive
76,785,204,Very sleek design and works just as advertised. Love it!,2024-06-02,sleek design works advertised love,5,2024,6,Sunday,0.5,Positive
77,756,229,The product is exactly what I was hoping for. I'm very satisfied.,2023-09-15,product exactly hoping satisfied,4,2023,9,Friday,0.375,Positive
78,666,283,The quality and performance of this product are top-notch.,2023-08-14,quality performance product top notch,5,2023,8,Monday,0.5,Positive
79,193,231,This product didn't work as expected. It's unreliable and frustrating.,2024-03-31,product not work expected unreliable frustrating,6,2024,3,Sunday,-0.25,Negative
80,229,225,I absolutely love this! It's even better than I expected.,2023-06-28,absolutely love even better expected,5,2023,6,Wednesday,0.3,Positive
81,747,242,Top-notch customer service and a reliable product. Great job!,2024-05-17,top notch customer service reliable product great job,8,2024,5,Friday,0.65,Positive
82,129,251,I'm amazed by how well it works. Great value for the price!,2023-07-26,amazed well works great value price,6,2023,7,Wednesday,0.8,Positive
83,141,272,"Not good at all. The quality is very poor, and I'm disappointed.",2023-09-09,not good quality poor disappointed,5,2023,9,Saturday,-0.5,Negative
84,898,281,"It works fine for now, but I'm not sure about its long-term durability.",2023-10-20,works fine not sure long term durability,7,2023,10,Friday,0.038888888888888896,Neutral
85,100,220,I've had a wonderful experience with this product. Definitely recommend it!,2024-04-14,wonderful experience product definitely recommend,5,2024,4,Sunday,0.5,Positive
86,508,206,"I have mixed feelings. It's fine, but I was expecting a bit more.",2023-12-27,mixed feelings fine expecting bit,5,2023,12,Wednesday,0.20833333333333334,Positive
87,992,200,I regret buying this. The product is ineffective and badly made.,2023-10-05,regret buying product ineffective badly made,6,2023,10,Thursday,-0.6999999999999998,Negative
88,744,275,Worth every penny! Amazing quality and service.,2024-05-11,worth every penny amazing quality service,6,2024,5,Saturday,0.45000000000000007,Positive
89,187,284,"The quality is average, and it's okay for the price.",2023-08-28,quality average okay price,4,2023,8,Monday,0.175,Positive
90,983,243,Great performance and easy to use. I'm very satisfied with this product.,2024-03-23,great performance easy use satisfied product,6,2024,3,Saturday,0.5777777777777778,Positive
91,571,206,I've never been this satisfied with a purchase before.,2024-06-08,never satisfied purchase,3,2024,6,Saturday,-0.25,Negative
92,474,278,Very high-quality product. I would buy it again without hesitation.,2023-12-22,high quality product would buy without hesitation,7,2023,12,Friday,0.16,Positive
93,739,248,This product didn't live up to its promises. I'm very disappointed.,2024-01-20,product not live promises disappointed,5,2024,1,Saturday,-0.40909090909090906,Negative
94,949,267,Extremely dissatisfied. The product broke down after just one use.,2024-01-12,extremely dissatisfied product broke one use,6,2024,1,Friday,-0.125,Negative
95,992,229,Best investment I've made in a long time. Very happy with my purchase.,2024-06-08,best investment made long time happy purchase,7,2024,6,Saturday,0.5833333333333334,Positive
96,256,222,Perfect product for my needs! I can't imagine using anything else now.,2023-07-12,perfect product needs cannot imagine using anything else,8,2023,7,Wednesday,1.0,Positive
97,952,270,"Great design, easy to use, and it works wonderfully. Highly recommend!",2024-04-07,great design easy use works wonderfully highly recommend,8,2024,4,Sunday,0.46444444444444444,Positive
98,847,296,"It's a decent product, but it doesn't offer the best value for the price.",2023-09-26,decent product not offer best value price,7,2023,9,Tuesday,0.5833333333333334,Positive
99,808,284,This product has exceeded all my expectations. Very satisfied.,2024-06-07,product exceeded expectations satisfied,4,2024,6,Friday,0.5,Positive
100,843,296,"The customer service was fantastic, and the product arrived on time.",2023-12-15,customer service fantastic product arrived time,6,2023,12,Friday,0.4,Positive
101,470,258,"It does the job, but I wasn't impressed by its performance.",2024-05-05,job not impressed performance,4,2024,5,Sunday,-0.5,Negative
102,194,292,This product does exactly what I wanted it to do. Very pleased.,2024-05-02,product exactly wanted pleased,4,2024,5,Thursday,0.375,Positive
103,289,209,Impressed with the durability and performance of this product.,2024-04-03,impressed durability performance product,4,2024,4,Wednesday,1.0,Positive
104,366,246,"The product is decent, but I've come across better quality.",2024-02-16,product decent come across better quality,6,2024,2,Friday,0.3333333333333333,Positive
105,302,235,Everything about this product is great! It works as advertised and more.,2023-07-22,everything product great works advertised,5,2023,7,Saturday,0.8,Positive
106,591,205,Works perfectly! Totally exceeded my expectations in terms of performance.,2024-03-19,works perfectly totally exceeded expectations terms performance,7,2024,3,Tuesday,0.0,Neutral
107,967,254,I'm very pleased with how quickly it arrived and the quality of the product.,2024-01-21,pleased quickly arrived quality product,5,2024,1,Sunday,0.41666666666666663,Positive
108,419,239,"I've been using this for a few weeks now, and it works flawlessly.",2023-08-22,using weeks works flawlessly,4,2023,8,Tuesday,1.0,Positive
109,572,278,This has been one of the best purchases I've made. Highly recommended!,2023-07-25,one best purchases made highly recommended,6,2023,7,Tuesday,0.58,Positive
110,130,283,"It's okay for basic use, but I wouldn't recommend it for anything more.",2023-12-20,okay basic use would not recommend anything,7,2023,12,Wednesday,0.25,Positive
111,169,204,This product is decent but doesn't stand out in any way.,2024-01-12,product decent not stand way,5,2024,1,Friday,0.16666666666666666,Positive
112,791,244,The product is exactly what I was hoping for. I'm very satisfied.,2023-12-13,product exactly hoping satisfied,4,2023,12,Wednesday,0.375,Positive
113,963,296,Everything about this product is perfect. So happy with it!,2024-04-12,everything product perfect happy,4,2024,4,Friday,0.9,Positive
114,283,279,This has been one of the best purchases I've made. Highly recommended!,2023-08-16,one best purchases made highly recommended,6,2023,8,Wednesday,0.58,Positive
115,253,245,"The product arrived on time, and I couldn't be happier with it.",2024-05-31,product arrived time could not happier,6,2024,5,Friday,0.0,Neutral
116,383,260,The quality is outstanding. I'm extremely impressed.,2024-03-11,quality outstanding extremely impressed,4,2024,3,Monday,0.75,Positive
117,676,225,I absolutely love this product! It exceeded my expectations in every way.,2024-06-17,absolutely love product exceeded expectations every way,7,2024,6,Monday,0.5,Positive
118,615,225,I regret buying this. The quality is terrible and it stopped working within a week.,2023-10-08,regret buying quality terrible stopped working within week,8,2023,10,Sunday,-1.0,Negative
119,434,253,"Excellent quality, great design, and super easy to use.",2024-03-16,excellent quality great design super easy use,7,2024,3,Saturday,0.6416666666666666,Positive
120,433,212,"It's decent for the price, but it's not high quality.",2024-02-15,decent price not high quality,5,2024,2,Thursday,0.04333333333333333,Neutral
121,316,279,I'm amazed by how well it works. Great value for the price!,2024-03-14,amazed well works great value price,6,2024,3,Thursday,0.8,Positive
122,529,221,I regret buying this. The quality is terrible and it stopped working within a week.,2024-04-13,regret buying quality terrible stopped working within week,8,2024,4,Saturday,-1.0,Negative
123,574,234,Worth every penny! Amazing quality and service.,2024-04-17,worth every penny amazing quality service,6,2024,4,Wednesday,0.45000000000000007,Positive
124,795,261,"It works as advertised, but it's not particularly impressive.",2023-10-31,works advertised not particularly impressive,5,2023,10,Tuesday,-0.5,Negative
125,235,222,"The product does its job, but I expected something more impressive.",2024-04-24,product job expected something impressive,5,2024,4,Wednesday,0.45,Positive
126,503,273,It's sufficient for basic needs but could be better.,2023-09-01,sufficient basic needs could better,5,2023,9,Friday,0.25,Positive
127,185,295,"It's not great, but it's not bad either. It's somewhere in between.",2024-05-30,not great not bad either somewhere,6,2024,5,Thursday,-0.02500000000000005,Neutral
128,120,210,The product is exactly what I was hoping for. I'm very satisfied.,2024-06-25,product exactly hoping satisfied,4,2024,6,Tuesday,0.375,Positive
129,759,263,Worth every penny! Amazing quality and service.,2023-08-23,worth every penny amazing quality service,6,2023,8,Wednesday,0.45000000000000007,Positive
130,150,249,Wonderful product! The quality and performance are unmatched.,2023-10-02,wonderful product quality performance unmatched,5,2023,10,Monday,1.0,Positive
131,465,217,The product is exactly what I was hoping for. I'm very satisfied.,2024-03-15,product exactly hoping satisfied,4,2024,3,Friday,0.375,Positive
132,898,295,"It serves its purpose, but it's not anything extraordinary.",2023-12-16,serves purpose not anything extraordinary,5,2023,12,Saturday,0.3333333333333333,Positive
133,137,238,I can't believe I wasted my money on this. It's not worth it.,2023-07-07,cannot believe wasted money not worth,6,2023,7,Friday,-0.175,Negative
134,571,220,"Fantastic quality, and the performance is just amazing. Highly recommend!",2024-05-16,fantastic quality performance amazing highly recommend,6,2024,5,Thursday,0.38666666666666666,Positive
135,355,241,"The product is good for the price, but there are some minor flaws.",2023-07-21,product good price minor flaws,5,2023,7,Friday,0.32499999999999996,Positive
136,560,293,I was expecting more from this product. It doesn't perform well.,2023-09-26,expecting product not perform well,5,2023,9,Tuesday,0.0,Neutral
137,349,247,Great performance and easy to use. I'm very satisfied with this product.,2023-07-15,great performance easy use satisfied product,6,2023,7,Saturday,0.5777777777777778,Positive
138,317,294,"Fantastic quality, and the performance is just amazing. Highly recommend!",2023-10-11,fantastic quality performance amazing highly recommend,6,2023,10,Wednesday,0.38666666666666666,Positive
139,375,251,"I'm satisfied, but I'm not overly enthusiastic about this product.",2023-10-06,satisfied not overly enthusiastic product,5,2023,10,Friday,0.55,Positive
140,242,250,"The product is okay, just nothing special to make it stand out.",2023-09-11,product okay nothing special make stand,6,2023,9,Monday,0.4285714285714286,Positive
141,281,266,"This item is exactly as described, and it works beautifully!",2023-08-02,item exactly described works beautifully,5,2023,8,Wednesday,0.55,Positive
142,804,215,"Not good at all. The quality is very poor, and I'm disappointed.",2024-06-01,not good quality poor disappointed,5,2024,6,Saturday,-0.5,Negative
143,723,271,Best investment I've made in a long time. Very happy with my purchase.,2023-10-01,best investment made long time happy purchase,7,2023,10,Sunday,0.5833333333333334,Positive
144,141,262,I'm very happy with the performance. It does exactly what I need.,2023-10-15,happy performance exactly need,4,2023,10,Sunday,0.525,Positive
145,492,292,I absolutely love this! It's even better than I expected.,2024-06-03,absolutely love even better expected,5,2024,6,Monday,0.3,Positive
146,261,225,I'm very happy with the performance. It does exactly what I need.,2023-10-18,happy performance exactly need,4,2023,10,Wednesday,0.525,Positive
147,317,230,Top-notch customer service and a reliable product. Great job!,2023-09-14,top notch customer service reliable product great job,8,2023,9,Thursday,0.65,Positive
148,487,262,The product does not match the description. Avoid this seller.,2024-02-24,product not match description avoid seller,6,2024,2,Saturday,0.0,Neutral
149,907,275,"It's a standard product, nothing to rave about.",2023-07-21,standard product nothing rave,4,2023,7,Friday,0.0,Neutral
150,566,218,"I tried using it, but it's just not functional. Very frustrating.",2024-01-21,tried using not functional frustrating,5,2024,1,Sunday,-0.4,Negative
151,312,282,The best product I've used in a long time. Kudos to the team!,2023-08-08,best product used long time kudos team,7,2023,8,Tuesday,0.475,Positive
152,161,216,"It's okay for basic use, but I wouldn't recommend it for anything more.",2023-07-09,okay basic use would not recommend anything,7,2023,7,Sunday,0.25,Positive
153,616,226,Top-notch customer service and a reliable product. Great job!,2024-03-14,top notch customer service reliable product great job,8,2024,3,Thursday,0.65,Positive
154,843,207,I am extremely satisfied with my purchase. Worth every penny!,2024-01-26,extremely satisfied purchase worth every penny,6,2024,1,Friday,0.4,Positive
155,564,279,I absolutely love this product! It exceeded my expectations in every way.,2024-02-20,absolutely love product exceeded expectations every way,7,2024,2,Tuesday,0.5,Positive
156,715,216,I'm really impressed with the quality and the results. 10/10!,2024-02-02,really impressed quality results,4,2024,2,Friday,1.0,Positive
157,875,253,Best investment I've made in a long time. Very happy with my purchase.,2024-01-19,best investment made long time happy purchase,7,2024,1,Friday,0.5833333333333334,Positive
158,331,224,Perfect product for my needs! I can't imagine using anything else now.,2023-11-06,perfect product needs cannot imagine using anything else,8,2023,11,Monday,1.0,Positive
159,493,287,The product is okay but nothing too special.,2023-07-13,product okay nothing special,4,2023,7,Thursday,0.4285714285714286,Positive
160,673,238,"It's not bad, but I wouldn't say it's great either.",2023-10-04,not bad would not say great either,7,2023,10,Wednesday,0.575,Positive
161,939,299,The item I received was completely different from what was shown online.,2024-01-18,item received completely different shown online,6,2024,1,Thursday,0.0,Neutral
162,168,285,"It works so well, and it's exactly what I needed for my project.",2024-01-28,works well exactly needed project,5,2024,1,Sunday,0.25,Positive
163,653,231,"It's a standard product, nothing to rave about.",2024-06-11,standard product nothing rave,4,2024,6,Tuesday,0.0,Neutral
164,266,223,Such a fantastic product at a great price. Worth every cent!,2023-11-20,fantastic product great price worth every cent,7,2023,11,Monday,0.5000000000000001,Positive
165,929,274,Overpriced for what it offers. Very unhappy with my purchase.,2024-02-07,overpriced offers unhappy purchase,4,2024,2,Wednesday,-0.25,Negative
166,889,270,"It's fine for casual use, but I wouldn't use it for anything heavy.",2023-10-18,fine casual use would not use anything heavy,8,2023,10,Wednesday,-0.09444444444444448,Neutral
167,119,269,"It serves its purpose, but it's not anything extraordinary.",2024-06-08,serves purpose not anything extraordinary,5,2024,6,Saturday,0.3333333333333333,Positive
168,488,235,"The product didn't last long, and the performance was very underwhelming.",2023-10-09,product not last long performance underwhelming,6,2023,10,Monday,-0.025,Neutral
169,881,252,"The product is good for the price, but there are some minor flaws.",2024-05-11,product good price minor flaws,5,2024,5,Saturday,0.32499999999999996,Positive
170,261,246,"I've been using this for a few weeks now, and it works flawlessly.",2024-01-20,using weeks works flawlessly,4,2024,1,Saturday,1.0,Positive
171,456,230,I've never been this satisfied with a purchase before.,2024-03-07,never satisfied purchase,3,2024,3,Thursday,-0.25,Negative
172,690,273,I'm amazed by how well it works. Great value for the price!,2024-06-09,amazed well works great value price,6,2024,6,Sunday,0.8,Positive
173,804,239,Works perfectly! Totally exceeded my expectations in terms of performance.,2023-10-21,works perfectly totally exceeded expectations terms performance,7,2023,10,Saturday,0.0,Neutral
174,281,222,"I've used it for a week, and it functions as advertised, but it's not extraordinary.",2024-05-17,used week functions advertised not extraordinary,6,2024,5,Friday,-0.16666666666666666,Negative
175,914,217,"I've used it a few times and it works, but it's not impressive.",2023-07-13,used times works not impressive,5,2023,7,Thursday,-0.5,Negative
176,945,259,The best product I've used in a long time. Kudos to the team!,2023-12-25,best product used long time kudos team,7,2023,12,Monday,0.475,Positive
177,554,218,"It's good enough to keep, but I'm not excited about it.",2023-06-30,good enough keep not excited,5,2023,6,Friday,0.1708333333333333,Positive
178,650,247,I've had a wonderful experience with this product. Definitely recommend it!,2024-04-08,wonderful experience product definitely recommend,5,2024,4,Monday,0.5,Positive
179,567,224,"The product is decent, but I've come across better quality.",2023-11-25,product decent come across better quality,6,2023,11,Saturday,0.3333333333333333,Positive
180,848,279,This product didn't live up to its promises. I'm very disappointed.,2023-12-27,product not live promises disappointed,5,2023,12,Wednesday,-0.40909090909090906,Negative
181,427,258,Everything about this product is great! It works as advertised and more.,2024-04-19,everything product great works advertised,5,2024,4,Friday,0.8,Positive
182,514,299,"It works, but it doesn't feel like a high-end product.",2024-06-08,works not feel like high end product,7,2024,6,Saturday,0.16,Positive
183,315,242,Very sleek design and works just as advertised. Love it!,2024-05-21,sleek design works advertised love,5,2024,5,Tuesday,0.5,Positive
184,417,287,This product didn't live up to its promises. I'm very disappointed.,2023-07-02,product not live promises disappointed,5,2023,7,Sunday,-0.40909090909090906,Negative
185,325,283,This product does exactly what I wanted it to do. Very pleased.,2024-04-21,product exactly wanted pleased,4,2024,4,Sunday,0.375,Positive
186,308,223,The quality is outstanding. I'm extremely impressed.,2024-02-08,quality outstanding extremely impressed,4,2024,2,Thursday,0.75,Positive
187,160,260,The quality is outstanding. I'm extremely impressed.,2024-06-15,quality outstanding extremely impressed,4,2024,6,Saturday,0.75,Positive
188,629,262,Great product and excellent customer support. Totally worth it!,2024-03-08,great product excellent customer support totally worth,7,2024,3,Friday,0.7000000000000001,Positive
189,569,257,Impressed with the durability and performance of this product.,2023-12-03,impressed durability performance product,4,2023,12,Sunday,1.0,Positive
190,691,216,It was a complete waste of money. I would never buy this again.,2023-10-23,complete waste money would never buy,6,2023,10,Monday,-0.05,Neutral
191,153,214,"Very poor product. It broke down after minimal use, and I'm not happy.",2023-11-18,poor product broke minimal use not happy,7,2023,11,Saturday,-0.3,Negative
192,423,284,Perfect product for my needs! I can't imagine using anything else now.,2023-08-21,perfect product needs cannot imagine using anything else,8,2023,8,Monday,1.0,Positive
193,599,250,"Great design, easy to use, and it works wonderfully. Highly recommend!",2023-09-02,great design easy use works wonderfully highly recommend,8,2023,9,Saturday,0.46444444444444444,Positive
194,941,275,Worth every penny! Amazing quality and service.,2024-02-21,worth every penny amazing quality service,6,2024,2,Wednesday,0.45000000000000007,Positive
195,891,274,Very disappointed with my purchase. The product is useless.,2024-05-08,disappointed purchase product useless,4,2024,5,Wednesday,-0.625,Negative
196,718,294,It's easy to use and super efficient. I'm so glad I bought it.,2023-09-10,easy use super efficient glad bought,6,2023,9,Sunday,0.4222222222222222,Positive
197,555,226,"It's a decent option, but not the best one out there.",2024-03-25,decent option not best one,5,2024,3,Monday,-0.16666666666666669,Negative
198,415,289,"It works so well, and it's exactly what I needed for my project.",2023-07-18,works well exactly needed project,5,2023,7,Tuesday,0.25,Positive
199,860,236,Everything about this product is perfect. So happy with it!,2024-05-03,everything product perfect happy,4,2024,5,Friday,0.9,Positive
200,963,273,Everything about this product is great! It works as advertised and more.,2023-08-27,everything product great works advertised,5,2023,8,Sunday,0.8,Positive
201,370,208,Not worth the investment. Very disappointing experience.,2024-01-05,not worth investment disappointing experience,5,2024,1,Friday,-0.375,Negative
202,544,265,This is exactly what I was looking for. I'm so glad I bought it!,2024-06-24,exactly looking glad bought,4,2024,6,Monday,0.375,Positive
203,261,252,I was expecting more from this product. It doesn't perform well.,2024-01-30,expecting product not perform well,5,2024,1,Tuesday,0.0,Neutral
204,491,223,Excellent quality and fast shipping. Very happy with it.,2024-04-14,excellent quality fast shipping happy,5,2024,4,Sunday,0.6666666666666666,Positive
